"temp. pred","confiance (95%)"
19.33,"[19.04:19.63]"
24.23,"[23.74:24.73]"
15.91,"[15.61:16.21]"
16.6,"[16.34:16.86]"
17.14,"[16.86:17.43]"
18.97,"[18.68:19.26]"
17.87,"[17.36:18.37]"
14.42,"[14.14:14.69]"
14.87,"[14.6:15.15]"
12.61,"[12.27:12.96]"
8.4,"[8.11:8.68]"
6.2,"[5.87:6.53]"
3.63,"[3.26:3.99]"
3.81,"[3.49:4.14]"
2.34,"[1.88:2.81]"
-1.65,"[-2.09:-1.21]"
1.37,"[0.99:1.75]"
3.3,"[2.92:3.67]"
1.32,"[0.81:1.84]"
3.09,"[2.56:3.62]"
0.4,"[0:0.8]"
-1.34,"[-1.73:-0.95]"
1,"[0.66:1.35]"
7.32,"[7.01:7.63]"
12.5,"[12.12:12.88]"
20.47,"[20.16:20.77]"
18.68,"[18.38:18.97]"
18.9,"[18.64:19.16]"
19.25,"[18.88:19.62]"
18.31,"[18.07:18.55]"
18.33,"[18.09:18.58]"
21,"[20.73:21.27]"
22.29,"[21.85:22.73]"
16.34,"[15.99:16.69]"
17.11,"[16.83:17.38]"
14.03,"[13.71:14.35]"
18.19,"[17.8:18.59]"
24.95,"[24.56:25.33]"
23.5,"[23.19:23.8]"
20.32,"[19.99:20.64]"
20.19,"[19.74:20.64]"
8.29,"[8.02:8.56]"
8.66,"[8.33:8.98]"
13.45,"[13.17:13.73]"
11.76,"[11.38:12.13]"
8.47,"[8.14:8.8]"
6.7,"[6.35:7.05]"
7.11,"[6.73:7.5]"
5.8,"[5.11:6.49]"
3.75,"[3.32:4.18]"
10.22,"[9.82:10.61]"
5.81,"[5.42:6.2]"
7.26,"[6.66:7.87]"
4.56,"[4.22:4.89]"
2.99,"[2.57:3.41]"
-3.62,"[-4.06:-3.18]"
-3.39,"[-3.82:-2.95]"
1.97,"[1.66:2.28]"
5.63,"[5.33:5.94]"
7.31,"[6.86:7.75]"
12.93,"[12.55:13.3]"
10.23,"[9.89:10.57]"
11.23,"[10.93:11.54]"
6.89,"[6.38:7.39]"
13.6,"[13.32:13.89]"
19.9,"[19.6:20.21]"
16.5,"[16.12:16.89]"
21.38,"[21.03:21.72]"
15.49,"[15.09:15.9]"
19.12,"[18.8:19.44]"
22.96,"[22.62:23.3]"
18.07,"[17.66:18.49]"
12.62,"[12.14:13.11]"
18.39,"[18.12:18.66]"
18.17,"[17.86:18.48]"
18.05,"[17.76:18.34]"
